1,0.48,0.36,-0.69,4.40,33.9,3.400
2,0.35,0.26,-0.68,4.40,34.1,3.400
3,0.47,0.20,-0.70,4.40,34.1,3.400
4,0.39,0.23,-0.66,4.40,34.1,3.400
5,0.49,0.23,-0.72,4.40,34.1,3.422
6,0.47,0.28,-0.72,4.40,34.1,3.400
7,0.39,0.22,-0.70,4.40,33.9,3.400
8,0.35,0.15,-0.59,4.40,34.1,3.422
9,0.34,0.20,-0.85,4.40,33.9,3.422
C,0.36,0.23,-0.76,4.40,34.1,3.400
0,0.37,0.15,-0.76,4.40,34.1,3.427
1,0.35,0.14,-0.76,4.40,34.1,3.427
2,0.26,0.19,-0.77,4.40,34.1,3.454
3,0.39,0.23,-0.73,4.40,34.1,3.482
4,0.31,0.18,-0.75,4.40,34.1,3.510
5,0.34,0.13,-0.73,4.40,33.9,3.595
6,0.36,0.09,-0.79,4.40,33.9,3.654
7,0.28,0.08,-0.78,4.40,34.1,3.714
8,0.28,0.09,-0.72,4.40,34.1,3.775
9,0.34,0.11,-0.81,4.40,33.9,3.806
C,0.36,0.22,-0.75,4.40,33.9,3.832
0,0.30,0.18,-0.71,4.40,34.1,3.869
1,0.38,0.26,-0.67,4.40,34.1,3.869
2,0.45,0.34,-0.66,4.40,33.9,3.869
3,0.46,0.34,-0.65,4.40,33.9,3.875
4,0.51,0.36,-0.61,4.40,33.9,3.875
5,0.65,0.32,-0.58,4.40,34.1,3.875
6,0.48,0.26,-0.63,4.40,34.1,3.869
7,0.37,0.30,-0.56,4.40,34.1,3.869
8,0.51,0.33,-0.53,4.40,34.1,3.869
9,0.55,0.30,-0.69,4.40,34.1,3.843
C,0.52,0.29,-0.68,4.40,33.9,3.837
0,0.50,0.27,-0.60,4.40,34.1,3.837
1,0.54,0.25,-0.55,4.40,34.1,3.806
2,0.58,0.23,-0.60,4.40,34.1,3.806
3,0.53,0.19,-0.61,4.40,34.1,3.801
4,0.50,0.16,-0.58,4.40,34.1,3.775
5,0.56,0.23,-0.65,4.40,34.1,3.775
6,0.53,0.20,-0.64,4.40,34.1,3.750
7,0.51,0.20,-0.63,4.40,34.1,3.744
8,0.51,0.24,-0.63,4.40,34.1,3.744
9,0.50,0.29,-0.65,4.40,33.9,3.689
C,0.54,0.28,-0.60,4.40,34.1,3.714
0,0.50,0.26,-0.61,4.40,33.9,3.684
1,0.50,0.26,-0.63,4.40,34.1,3.684
2,0.47,0.28,-0.64,4.40,34.1,3.684
3,0.49,0.31,-0.63,4.40,33.9,3.678
4,0.50,0.27,-0.62,4.40,34.1,3.659
5,0.48,0.27,-0.62,4.40,34.1,3.630
6,0.50,0.28,-0.64,4.40,34.1,3.630
7,0.50,0.27,-0.64,4.40,34.1,3.625
8,0.49,0.28,-0.62,4.40,34.1,3.625
9,0.50,0.30,-0.63,4.40,33.9,3.595
C,0.50,0.28,-0.62,4.40,34.1,3.619
0,0.50,0.26,-0.64,4.40,34.1,3.595
1,0.49,0.28,-0.63,4.40,34.1,3.572
2,0.49,0.28,-0.63,4.40,33.9,3.595
3,0.50,0.26,-0.62,4.40,34.1,3.595
4,0.49,0.25,-0.66,4.40,34.1,3.590
5,0.49,0.27,-0.61,4.40,34.1,3.572
6,0.50,0.29,-0.65,4.40,33.9,3.572
7,0.48,0.28,-0.64,4.40,33.9,3.572
8,0.49,0.28,-0.64,4.40,34.1,3.543
9,0.49,0.28,-0.65,4.40,34.1,3.567
C,0.49,0.28,-0.62,4.40,34.1,3.572
0,0.49,0.28,-0.64,4.40,34.1,3.567
